ID,GROUP,VALUE,presses_pre,presses_post,presses_post1,presses_post2,presses_post3,presses_reacquisition,presses_change,habit_index,trainingPressingRate,trainingPressingRateExcludingLastRun
103,1,valued,3.79691377398075,4.26036288728905,4.27762015544721,4.30216027428372,4.20130823213624,4.02262199562872,0.463449113308307,0.800176787015933,3.48574256016615,3.30732783767537
103,1,devalued,3.53140079133314,3.19467311762551,2.24848115648759,3.59852421049548,3.73701398589347,2.25132524867157,-0.336727673707626,0.800176787015933,3.48574256016615,3.30732783767537
103,1,baseline,0,0,0,0,0,0,0,0.800176787015933,3.48574256016615,3.30732783767537
104,1,valued,3.74441643884336,4.28248017594119,4.34602827862219,3.94945962881176,4.55195262038963,3.72740609193663,0.538063737097834,0.295728531966918,3.79509900440859,3.58066111986158
104,1,devalued,4.27465733906783,4.51699254419874,4.25558604693593,4.69127680932399,4.60411477633632,3.45502695485571,0.242335205130916,0.295728531966918,3.79509900440859,3.58066111986158
104,1,baseline,0,0,0,0,0,0,0,0.295728531966918,3.79509900440859,3.58066111986158
106,1,valued,2.51349178619941,1.38428633828326,1.35085103885622,1.50157501036216,1.30043296563141,2.73355212027875,-1.12920544791615,0.0106135284540656,1.92422087627583,1.35516679091368
106,1,devalued,2.47305813707654,1.33323916070633,1.249146572756,1.30030089860002,1.45027001076297,0.799409436370639,-1.13981897637022,0.0106135284540656,1.92422087627583,1.35516679091368
106,1,baseline,0,0,0,0,0,0,0,0.0106135284540656,1.92422087627583,1.35516679091368
107,1,valued,3.80232276453203,3.83890587670059,4.27389284350667,3.69406995346307,3.54875483313201,3.15586611670036,0.0365831121685565,1.24679677929625,3.57567744259611,3.43348574310372
107,1,devalued,3.63341551964496,2.42320185251727,2.46535467675858,3.10399573957157,1.70025514122164,2.63628611372434,-1.2102136671277,1.24679677929625,3.57567744259611,3.43348574310372
107,1,baseline,0,0,0,0,0,0,0,1.24679677929625,3.57567744259611,3.43348574310372
108,1,valued,3.74302493319977,4.36360346648455,4.68667429158026,4.19989912661279,4.20423698126061,4.51646617282099,0.620578533284783,0.134316089974799,3.73924323591919,3.55659353570642
108,1,devalued,4.10076093906414,4.58702338237412,4.36290734485079,4.4529841865004,4.94517861577119,4.64517944680151,0.486262443309984,0.134316089974799,3.73924323591919,3.55659353570642
108,1,baseline,0,0,0,0,0,0,0,0.134316089974799,3.73924323591919,3.55659353570642
110,1,valued,0.941797221304221,0.383521990609523,0.200211128581362,0.75017155823401,0.200183285013196,0.600235665425742,-0.558275230694698,-0.0622622737525851,1.08984674427064,1.33585025032911
110,1,devalued,0.745889255120109,0.249876298177996,0.399530771864067,0.200065465001317,0.150032657668605,0.467346273096388,-0.496012956942113,-0.0622622737525851,1.08984674427064,1.33585025032911
110,1,baseline,0,0,0,0,0,0,0,-0.0622622737525851,1.08984674427064,1.33585025032911
113,1,valued,4.42651079336852,4.92740821844656,5.02788784175356,4.87302559051566,4.88131122307044,4.47700006144115,0.500897425078039,0.219531728408498,4.23024419164393,4.00998993154742
113,1,devalued,4.47448611011238,4.75585180678192,4.79737270804236,4.99267473016138,4.47750798214202,4.5359876181578,0.281365696669541,0.219531728408498,4.23024419164393,4.00998993154742
113,1,baseline,0,0,0,0,0,0,0,0.219531728408498,4.23024419164393,4.00998993154742
114,1,valued,0.489418730122079,0.483432103148818,0.550253302642403,0.500088856188047,0.399954150616006,0.400088191337651,-0.0059866269732608,-0.0555854595748996,1.04817207143453,1.50150593881908
114,1,devalued,0.700257677977892,0.749856510579531,1.09897653902942,0.600318940658504,0.550274052050671,0.233455699543757,0.0495988326016388,-0.0555854595748996,1.04817207143453,1.50150593881908
114,1,baseline,0,0,0,0,0,0,0,-0.0555854595748996,1.04817207143453,1.50150593881908
115,1,valued,3.30214724926512,4.02770389072,3.90069854626247,3.94526557045352,4.23714755544402,3.86675097369264,0.725556641454886,-0.216615357265147,2.51413906155543,1.87527092382714
115,1,devalued,3.00386714930233,3.94603914802236,3.64661980442627,3.89185264971851,4.29964498992232,4.1207523417297,0.942171998720033,-0.216615357265147,2.51413906155543,1.87527092382714
115,1,baseline,0,0,0,0,0,0,0,-0.216615357265147,2.51413906155543,1.87527092382714
117,1,valued,1.46183405531597,1.63370367749694,1.65075354373626,1.75070121387185,1.49965627488271,1.53411092934394,0.17186962218097,0.266691045796094,1.28046559184938,1.15737591609736
117,1,devalued,1.34527647988683,1.2504550562717,1.00097201775102,1.2501726809142,1.50022047014989,1.38333654472751,-0.0948214236151246,0.266691045796094,1.28046559184938,1.15737591609736
117,1,baseline,0,0,0,0,0,0,0,0.266691045796094,1.28046559184938,1.15737591609736
118,1,valued,4.49523065795329,5.03358584214278,5.52766186741029,4.75595518236057,4.81714047665747,4.85635446697485,0.53835518418949,0.310239046300916,4.59002891104877,4.63412140184346
118,1,devalued,4.59664218255486,4.82475832044343,4.79892326678635,4.8980920951671,4.77725959937685,4.58329817006933,0.228116137888574,0.310239046300916,4.59002891104877,4.63412140184346
118,1,baseline,0,0,0,0,0,0,0,0.310239046300916,4.59002891104877,4.63412140184346
119,1,valued,3.46064230837174,3.4598368707751,4.10512481770747,3.63010549705042,2.6442802975674,3.63141321925639,-0.000805437596640868,2.29557461288722,3.2604491263652,3.01696500449527
119,1,devalued,3.54722418809854,1.25084413761469,0.149859151961264,1.2006878405046,2.4019854203782,1.58414212002523,-2.29638005048386,2.29557461288722,3.2604491263652,3.01696500449527
119,1,baseline,0,0,0,0,0,0,0,2.29557461288722,3.2604491263652,3.01696500449527
